NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-107 d,0.00371234,0.095459,7.958203,
WASP-14 b,7.69234,1.281,2.243752,0.091
Kepler-50 b,0.0164915,0.196096,7.8125124,
NN Ser d,0.642621,,2605,0.05
Kepler-20 b,0.0266646,0.170247,3.6961219,0
HAT-P-27 b,0.617485,1.02,3.039577,0
Kepler-181 b,0.00674351,0.113302,3.137873,
HD 116029 b,1.9075,,670,0
Kepler-207 b,0.0117295,0.140066,1.611865,
HD 219828 b,0.0622185,,3.8334999,0
Kepler-11 c,0.00912437,0.255816,13.0241,0.0256125
HD 1237 b,3.3748,,133.71001,0.511
WASP-21 b,0.300272,1.07,4.322482,0
Kepler-284 c,0.0210192,0.232849,37.514456,
Kepler-186 c,0.00636705,0.111418,7.267302,0.03
HD 4308 b,0.0477376,,15.56,0
Kepler-239 b,0.0177874,0.207869,11.763051,
Kepler-174 b,0.014454,0.174859,13.98179,
Kepler-224 d,0.0174811,0.205192,11.349393,
Kepler-389 c,0.0107805,0.130252,14.51143,
Kepler-254 c,0.0160511,0.19181,12.412183,
Kepler-236 c,0.0147725,0.178428,23.968127,
WASP-25 b,0.57847,1.22,3.764825,0
Kepler-186 d,0.00934866,0.12479,13.342996,0.03
HD 24040 b,4.02189,,3668,0.04
Kepler-359 c,0.0607789,0.38362,57.68802,
Kepler-211 c,0.00711292,0.115086,6.04045,
Kepler-294 c,0.0223552,0.24177,6.6264,
Kepler-263 c,0.019315,0.220359,47.332773,
Kepler-349 b,0.0139923,0.169507,5.929778,
HD 200964 b,1.94873,,613.8,0.04
HD 147018 b,2.12711,,44.236,0.4686
HD 218566 b,0.212872,,225.7,0.3
HD 45364 b,0.187149,,226.93,0.1684
Kepler-361 b,0.010538,0.12936,8.486616,
Kepler-318 c,0.0419521,0.328308,11.815007,
Kepler-372 b,0.00850717,0.121331,6.849692,
Kepler-197 e,0.00208313,0.0811848,25.209715,
HD 141937 b,9.4752,,653.21997,0.41
Kepler-405 c,0.071727,0.415737,29.726682,
Kepler-104 d,0.0392746,0.319386,51.755394,
Kepler-26 d,0.00371234,0.095459,3.543919,
Kepler-159 b,0.0183139,0.212329,10.139623,
HD 156668 b,0.0130582,,4.6455,0
MOA-2009-BLG-387L b,2.6,,1970,
Kepler-32 f,0.00143611,0.0730903,0.74296,0
WASP-103 b,1.48791,1.528,0.925542,0
Kepler-221 e,0.0212781,0.234633,18.369917,
Kepler-256 c,0.0160511,0.19181,3.38802,
GJ 649 b,0.325341,,598.3,0.3
Kepler-276 b,0.0247188,0.256044,14.12841,
Kepler-264 c,0.0241007,0.252476,140.101261,
HD 132406 b,5.60495,,974,0.34
Kepler-143 b,0.0186399,0.215006,16.007583,
Kepler-189 c,0.0183139,0.212329,20.134866,
HD 38529 c,12.2603,,2146.0503,0.355094
Kepler-62 b,0,0.116766,5.714932,0.0707107
Kepler-281 b,0.0239491,0.251584,14.646008,
Kepler-196 c,0.0168894,0.199839,47.427737,
Kepler-238 c,0.0184218,0.213222,6.155557,
Kepler-49 c,0.0202381,0.227293,10.9129343,
Kepler-55 c,0.016585,0.196987,42.1516418,
WASP-19 b,1.13339,1.386,0.78884,0.0046
Kepler-310 d,0.019315,0.220359,92.876125,
Kepler-204 c,0.0131908,0.159693,25.660593,
Kepler-26 b,0.0397121,0.320884,12.282356,0
Kepler-374 c,0.00409374,0.0981354,3.282807,
Kepler-395 b,0.00324127,0.0918904,7.054346,
HD 126614 A b,0.385706,,1244,0.41
Kepler-80 e,0.0121773,0.146311,4.645387,
Kepler-83 d,0.014298,0.173075,5.169796,
Kepler-167 b,0.010538,0.12936,4.393147,
Kepler-295 d,0.00850717,0.121331,33.884054,
Kepler-337 b,0.0115417,0.13739,3.292781,
HD 177830 b,1.31967,,410.1,0.096
Kepler-226 d,0.00587447,0.108841,8.109044,
HD 38283 b,0.338157,,363.2,0.41
Kepler-386 b,0.00915403,0.124008,12.31043,
